timestamp,Basel Temperature [2 m elevation corrected]
20180131T2100,9.080529
20180131T2200,8.560529
20180131T2300,7.3505287
20180201T0000,6.7505283
20180201T0100,6.6605287
20180201T0200,6.1805286
20180201T0300,6.2505283
20180201T0400,5.1305285
20180201T0500,4.5705285
20180201T0600,2.8105285
20180201T0700,2.4505286
20180201T0800,3.1805286
20180201T0900,4.3805285
20180201T1000,5.2005286
20180201T1100,5.9405284
20180201T1200,6.4205284
20180201T1300,6.7205286
20180201T1400,6.5105286
20180201T1500,6.3405285
20180201T1600,5.7505283
20180201T1700,4.8805285
20180201T1800,4.5905285
20180201T1900,4.3505287
20180201T2000,4.1905284
20180201T2100,2.0205286
20180201T2200,1.5405287
20180201T2300,1.0105287
20180202T0000,0.6405287
20180202T0100,0.21052867
20180202T0200,-0.23947135
20180202T0300,-0.13947135
20180202T0400,0.050528657
20180202T0500,0.18052867
20180202T0600,-0.22947133
20180202T0700,-0.40947133
20180202T0800,0.5805287
20180202T0900,2.2105286
20180202T1000,3.1305285
20180202T1100,4.020529
20180202T1200,5.1905284
20180202T1300,5.2505283
20180202T1400,5.4905286
20180202T1500,5.0605288
20180202T1600,4.790529
20180202T1700,3.3305285
20180202T1800,2.2905285
20180202T1900,1.3105286
20180202T2000,0.7005287
20180202T2100,0.31052867
20180202T2200,0.24052864
20180202T2300,0.20052865
20180203T0000,0.80052865
20180203T0100,0.7505287
20180203T0200,0.9505287
20180203T0300,1.1505287
20180203T0400,0.87052864
20180203T0500,0.7005287
20180203T0600,0.33052868
20180203T0700,0.47052866
20180203T0800,0.8905287
20180203T0900,1.8505287
20180203T1000,2.3305285
20180203T1100,3.1105285
20180203T1200,4.0905285
20180203T1300,4.5005283
20180203T1400,4.4905286
20180203T1500,4.2705283
20180203T1600,3.9405286
20180203T1700,2.5605285
20180203T1800,1.7305287
20180203T1900,1.1105287
20180203T2000,0.91052866
20180203T2100,0.6905287
20180203T2200,0.44052866
20180203T2300,0.44052866
20180204T0000,0.78052866
20180204T0100,0.9605287
20180204T0200,1.2505287
20180204T0300,1.2105286
20180204T0400,0.92052865
20180204T0500,0.44052866
20180204T0600,0.09052865
20180204T0700,-0.08947134
20180204T0800,0.7505287
20180204T0900,2.1805286
20180204T1000,3.4705286
20180204T1100,4.9505286
20180204T1200,5.1805286
20180204T1300,5.7105284
20180204T1400,5.9805284
20180204T1500,5.9105287
20180204T1600,5.4805284
20180204T1700,4.0805287
20180204T1800,1.3005286
20180204T1900,0.68052864
20180204T2000,0.24052864
20180204T2100,0.25052866
20180204T2200,0.25052866
20180204T2300,0.19052866
20180205T0000,0.23052865
20180205T0100,0.32052866
20180205T0200,0.30052868
20180205T0300,0.31052867
20180205T0400,0.30052868
20180205T0500,0.32052866
20180205T0600,0.32052866
20180205T0700,0.17052865
20180205T0800,0.72052866
20180205T0900,2.4705286
20180205T1000,4.1605287
20180205T1100,5.4305286
20180205T1200,7.0105286
20180205T1300,8.340529
20180205T1400,7.8605285
20180205T1500,7.9805284
20180205T1600,7.790529
20180205T1700,6.7005286
20180205T1800,6.2005286
20180205T1900,4.5805287
20180205T2000,3.4705286
20180205T2100,2.5505285
20180205T2200,2.9505286
20180205T2300,2.7905285
20180206T0000,2.4405286
20180206T0100,1.7005286
20180206T0200,1.0605286
20180206T0300,0.41052866
20180206T0400,0.24052864
20180206T0500,0.27052864
20180206T0600,0.30052868
20180206T0700,0.40052867
20180206T0800,1.2605287
20180206T0900,2.6205285
20180206T1000,4.3805285
20180206T1100,5.7705283
20180206T1200,6.4605284
20180206T1300,7.6005287
20180206T1400,8.060529
20180206T1500,8.040529
20180206T1600,7.3805285
20180206T1700,5.3305287
20180206T1800,4.1605287
20180206T1900,3.7305286
20180206T2000,3.4705286
20180206T2100,3.2005286
20180206T2200,2.8705285
20180206T2300,2.7205286
20180207T0000,2.5205286
